DE SCHED02.DAT by wanggt, 2015/4/27
DE GLOBAL/RC
   mwStep = 0.01
   rampSd = 3
   sd1    = 1
   sdnum  = 12
   pntNum = 4
DE MICDATA
DE NUM |MWmax |MWmin |Pnt/4 |Id
   1   10.1  3.10  3.1 121 5.1 141 6.1 181 10.1 181
   2   10.2  3.20  3.2 122 5.2 142 6.2 182 10.2 182
   3   10.3  3.30  3.3 123 5.3 143 6.3 183 10.3 183
   4   10.4  3.40  3.4 124 5.4 144 6.4 184 10.4 184
DE LOADDATA
DE NUM |MW  |MVar
   1    30.0
   2    30.0
   3    40.0
   4   100.0
   5   110.0
   6   100.0
   7    90.0
   8    80.0
   9    80.0
  10    90.0
  11   100.0
  12    90.0
DE END
